country,"Total Amount for PG & PG-13"
India,2732.50
China,2502.78
"United States",1713.96
Japan,1656.15
Mexico,1401.59
"Russian Federation",1283.92
Brazil,1261.93
Philippines,1087.46
Indonesia,746.34
Nigeria,716.33
Turkey,696.36
Argentina,609.52
"South Africa",500.88
Taiwan,441.83
Italy,370.17
Vietnam,370.17
Egypt,367.17
Iran,366.13
Poland,345.20
"United Kingdom",335.18
Netherlands,308.39
Colombia,298.36
Germany,286.33
Spain,281.35
"Saudi Arabia",267.44
"South Korea",259.43
Yemen,250.50
Ukraine,250.43
Venezuela,245.40
Canada,241.48
Pakistan,223.43
Peru,199.48
France,188.55
Bangladesh,187.59
Algeria,175.56
Thailand,167.61
Ecuador,162.65
Israel,161.59
Belarus,157.66
Malaysia,149.64
"United Arab Emirates",146.62
"Dominican Republic",139.64
Austria,138.64
Mozambique,127.73
Tanzania,127.71
Latvia,121.73
Switzerland,121.72
Yugoslavia,120.72
"Congo, The Democratic Republic of the",119.70
Kenya,114.77
Angola,113.72
Sudan,107.75
Chile,106.76
Runion,104.80
Morocco,102.75
"French Polynesia",101.76
"Puerto Rico",100.79
Myanmar,94.77
Azerbaijan,92.78
Bulgaria,91.80
Cameroon,86.73
Armenia,79.83
Sweden,79.81
Romania,78.79
Cambodia,77.79
Moldova,75.82
Paraguay,75.80
Bolivia,68.78
Greece,66.81
Iraq,60.88
Finland,58.87
Chad,57.87
Liechtenstein,55.87
Turkmenistan,55.87
Gambia,54.89
Nepal,54.88
Oman,54.85
Malawi,53.88
"Holy See (Vatican City State)",52.86
Zambia,51.87
Kazakstan,51.83
Kuwait,49.90
Nauru,47.90
Bahrain,47.90
Hungary,47.86
Anguilla,46.84
"Czech Republic",43.92
Tuvalu,41.90
Tonga,41.89
"American Samoa",41.89
Greenland,39.90
Lithuania,38.88
"Hong Kong",37.92
Brunei,37.88
"Virgin Islands, U.S.",37.86
"Faroe Islands",36.91
"North Korea",35.89
"New Zealand",33.91
"French Guiana",32.94
Senegal,31.90
Slovakia,30.90
Madagascar,29.93
"Sri Lanka",27.92
"Saint Vincent and the Grenadines",24.90
Afghanistan,22.95
Ethiopia,22.94
Tunisia,22.94
Estonia,20.92
