city,"Average Rental",Rank
Sumy,5.704286,1
Naala-Porto,5.350000,2
Birgunj,5.308182,3
Halisahar,5.271250,4
"Pangkal Pinang",5.267778,5
Kursk,5.250870,6
Kimberley,5.240000,7
Athenai,5.220769,8
Otsu,5.220769,8
Sal,5.171818,10
Memphis,5.137059,11
Southampton,5.120435,12
"Donostia-San Sebastin",5.119032,13
Vijayawada,5.110000,14
"Santa Rosa",5.080909,15
Newcastle,5.076957,16
Plock,5.073333,17
Ashgabat,5.064074,18
Bhilwara,5.052500,19
Chapra,5.040000,20
Tsuyama,5.037619,21
Simferopol,5.028462,22
Hodeida,5.021250,23
Apeldoorn,4.990000,24
"Santa Brbara dOeste",4.990000,24
"Bat Yam",4.990000,24
Sirjan,4.990000,24
Stockport,4.990000,24
Zhoushan,4.990000,24
"Juiz de Fora",4.990000,24
Onomichi,4.955517,31
Nyeri,4.955517,31
Mysore,4.952963,33
"Juazeiro do Norte",4.944545,34
Yantai,4.940000,35
Denizli,4.934444,36
Bag,4.927500,37
"Cape Coral",4.923333,38
Qomsheh,4.911053,39
Sogamoso,4.906667,40
Quilmes,4.906667,40
Sultanbeyli,4.903043,42
Ibirit,4.890000,43
"Vila Velha",4.886552,44
Osmaniye,4.878889,45
Hino,4.878889,45
Maikop,4.865000,47
Maracabo,4.859565,48
Sincelejo,4.856667,49
Omdurman,4.847143,50
Wroclaw,4.847143,50
Jining,4.841852,52
Usolje-Sibirskoje,4.838485,53
Vancouver,4.823333,54
"Sterling Heights",4.817586,55
Cuauhtmoc,4.817586,55
Emeishan,4.797692,57
Yangor,4.796452,58
Imus,4.783103,59
Coatzacoalcos,4.783103,59
Guaruj,4.781667,61
Goinia,4.775714,62
Joliet,4.775714,62
"Cam Ranh",4.771250,64
"San Bernardino",4.767778,65
Ozamis,4.767778,65
Brescia,4.764194,67
"Coacalco de Berriozbal",4.762727,68
Valparai,4.761429,69
"Kowloon and New Kowloon",4.756667,70
Daugavpils,4.756667,70
"Mandi Bahauddin",4.754706,72
Okayama,4.751905,73
Yerevan,4.750000,74
Kuwana,4.750000,74
Syrakusa,4.740000,76
Ilorin,4.731935,77
Akron,4.731935,77
Antofagasta,4.730741,79
"Nam Dinh",4.723333,80
Kamyin,4.720769,81
Cayenne,4.717273,82
Tonghae,4.710000,83
Saint-Denis,4.707391,84
Elista,4.704286,85
Ruse,4.698333,86
Blumenau,4.693704,87
"Purnea (Purnia)",4.693704,87
Skikda,4.692703,89
Maring,4.685652,90
Tianjin,4.685652,90
Brockton,4.682308,92
Erlangen,4.679655,93
Jedda,4.668571,94
Probolinggo,4.666471,95
Clarksville,4.656667,96
Molodetno,4.656667,96
Omiya,4.656667,96
Yinchuan,4.656667,96
Talavera,4.656667,96
Funafuti,4.643846,101
Ambattur,4.643846,101
Sawhaj,4.643846,101
Baiyin,4.643846,101
Ede,4.642174,105
"San Lorenzo",4.642174,105
Bhavnagar,4.642174,105
York,4.632857,108
Loja,4.632857,108
Adoni,4.626364,110
"Nakhon Sawan",4.626364,110
Gaziantep,4.626364,110
Rajkot,4.626364,110
Purwakarta,4.621579,114
"Mit Ghamr",4.619630,115
Tanauan,4.618571,116
"Santiago de los Caballeros",4.615000,117
Mwene-Ditu,4.615000,117
Rancagua,4.615000,117
Kirovo-Tepetsk,4.610690,120
Olomouc,4.610690,120
Udaipur,4.605385,122
Pjatigorsk,4.605385,122
"Baha Blanca",4.597143,124
Kragujevac,4.596061,125
Uruapan,4.596061,125
Ife,4.590000,127
Bellevue,4.590000,127
Mexicali,4.590000,127
Balaiha,4.580909,130
Miraj,4.576207,131
"Rae Bareli",4.570645,132
Siegen,4.568947,133
Ashqelon,4.568947,133
"Deba Habe",4.555217,135
Dongying,4.555217,135
Belm,4.552500,137
"Huejutla de Reyes",4.550000,138
"Santa F",4.545556,139
Robamba,4.538387,140
Xiangtan,4.535455,141
Livorno,4.531667,142
Iwaki,4.528462,143
"Benin City",4.525714,144
Coquimbo,4.525714,144
Papeete,4.523333,146
Sumqayit,4.523333,146
Ogbomosho,4.521250,148
Niznekamsk,4.519412,149
"Shubra al-Khayma",4.519412,149
Shimoga,4.513810,151
