films,replacement_cost,rental_rate,rating,Rental_amount,Rental_Quantity,Category_name
"AMADEUS HOLY",20.99,0.99,PG,33.79,21,Action
"AMERICAN CIRCUS",17.99,4.99,R,167.78,22,Action
"ANTITRUST TOMATOES",11.99,2.99,NC-17,37.90,10,Action
"BAREFOOT MANCHURIAN",15.99,2.99,G,66.82,18,Action
"BERETS AGENT",24.99,2.99,PG-13,78.78,21,Action
"BRIDE INTRIGUE",24.99,0.99,G,21.81,19,Action
"BULL SHAWSHANK",21.99,0.99,NC-17,21.84,16,Action
"CADDYSHACK JEDI",17.99,0.99,NC-17,51.84,16,Action
"CAMPUS REMEMBER",27.99,2.99,R,90.81,19,Action
"CASUALTIES ENCINO",16.99,4.99,G,72.91,9,Action
"CELEBRITY HORN",24.99,0.99,PG-13,32.76,24,Action
"CLUELESS BUCKET",13.99,2.99,R,112.75,25,Action
"CROW GREASE",22.99,0.99,PG,18.88,12,Action
"DANCES NONE",22.99,0.99,NC-17,31.86,14,Action
"DARKO DORADO",13.99,4.99,NC-17,82.89,11,Action
"DARN FORRESTER",14.99,4.99,G,93.82,18,Action
"DEVIL DESIRE",12.99,4.99,R,83.85,15,Action
"DRAGON SQUAD",26.99,0.99,NC-17,27.89,11,Action
"DREAM PICKUP",18.99,2.99,PG,81.78,22,Action
"DRIFTER COMMANDMENTS",18.99,4.99,PG-13,141.76,24,Action
"EASY GLADIATOR",12.99,4.99,G,150.77,23,Action
"ENTRAPMENT SATISFACTION",19.99,0.99,R,47.85,15,Action
"EXCITEMENT EVE",20.99,0.99,G,67.79,21,Action
"FANTASY TROOPERS",27.99,0.99,PG-13,45.74,26,Action
"FOOL MOCKINGBIRD",24.99,4.99,PG,175.77,23,Action
"FORREST SONS",15.99,2.99,R,87.82,18,Action
"GLASS DYING",24.99,0.99,G,43.86,14,Action
"GOSFORD DONNIE",17.99,4.99,G,48.92,8,Action
"GRAIL FRANKENSTEIN",17.99,2.99,NC-17,52.90,10,Action
"HANDICAP BOONDOCK",28.99,0.99,R,63.72,28,Action
"HILLS NEIGHBORS",29.99,0.99,G,72.75,25,Action
"KISSING DOLLS",9.99,4.99,R,147.80,20,Action
"LAWRENCE LOVE",23.99,0.99,NC-17,15.87,13,Action
"LORD ARIZONA",27.99,2.99,PG-13,42.89,11,Action
"LUST LOCK",28.99,2.99,G,74.82,15,Action
"MAGNOLIA FORRESTER",28.99,0.99,PG-13,34.89,11,Action
"MIDNIGHT WESTWARD",19.99,0.99,G,45.83,17,Action
"MINDS TRUMAN",22.99,4.99,PG-13,149.80,20,Action
"MOCKINGBIRD HOLLYWOOD",27.99,0.99,PG,59.76,24,Action
"MONTEZUMA COMMAND",22.99,0.99,NC-17,11.91,9,Action
"PARK CITIZEN",14.99,4.99,PG-13,60.92,8,Action
"PATRIOT ROMAN",12.99,2.99,PG,55.84,16,Action
"PRIMARY GLASS",16.99,0.99,G,36.73,27,Action
"QUEST MUSSOLINI",29.99,2.99,R,77.80,20,Action
"REAR TRADING",23.99,0.99,NC-17,32.83,17,Action
"RINGS HEARTBREAKERS",17.99,0.99,G,34.85,15,Action
"RUGRATS SHAKESPEARE",16.99,0.99,PG-13,70.70,30,Action
"SHRUNK DIVINE",14.99,2.99,R,52.86,14,Action
"SIDE ARK",28.99,0.99,G,29.88,12,Action
"SOUTH WAIT",21.99,2.99,R,107.78,22,Action
"SPEAKEASY DATE",22.99,2.99,PG-13,45.88,12,Action
"STAGECOACH ARMAGEDDON",25.99,4.99,R,154.74,26,Action
"STORY SIDE",27.99,0.99,R,39.72,28,Action
"SUSPECTS QUILLS",22.99,2.99,PG,133.70,30,Action
"TRIP NEWTON",14.99,4.99,PG-13,145.72,28,Action
"TRUMAN CRAZY",9.99,4.99,G,121.77,23,Action
"UPRISING UPTOWN",16.99,2.99,NC-17,60.84,16,Action
"WATERFRONT DELIVERANCE",17.99,4.99,G,121.83,17,Action
"WEREWOLF LOLA",19.99,4.99,G,78.86,14,Action
"WOMEN DORADO",23.99,0.99,R,44.78,23,Action
"WORST BANGER",26.99,2.99,PG,73.84,16,Action
"ALTER VICTORY",27.99,0.99,PG-13,32.78,22,Animation
"ANACONDA CONFESSIONS",9.99,0.99,R,60.79,21,Animation
"BIKINI BORROWERS",26.99,4.99,NC-17,98.83,17,Animation
"BLACKOUT PRIVATE",12.99,2.99,PG,91.73,27,Animation
"BORROWERS BEDAZZLED",22.99,0.99,G,27.78,22,Animation
"CANYON STOCK",26.99,0.99,R,27.81,19,Animation
"CAROL TEXAS",15.99,2.99,PG,83.82,18,Animation
"CHAMPION FLATLINERS",21.99,4.99,PG,85.87,13,Animation
"CLASH FREDDY",12.99,2.99,G,85.75,25,Animation
"CLUB GRAFFITI",12.99,0.99,PG-13,44.80,19,Animation
"CROSSROADS CASUALTIES",20.99,2.99,G,77.79,21,Animation
"DARES PLUTO",16.99,2.99,PG-13,29.91,9,Animation
"DESIRE ALIEN",24.99,2.99,NC-17,25.92,8,Animation
"DOGMA FAMILY",16.99,4.99,G,178.70,30,Animation
"DONNIE ALLEY",20.99,0.99,NC-17,35.86,14,Animation
"DOORS PRESIDENT",22.99,4.99,NC-17,123.81,19,Animation
"DOUBLE WRATH",28.99,0.99,R,74.75,25,Animation
"DUCK RACER",15.99,2.99,NC-17,23.94,6,Animation
