Films,rental_amount
"WIFE TURN",223.69
"PELICAN COMFORTS",188.74
"SHOW LORD",170.75
"MIDSUMMER GROUNDHOG",156.78
"PRINCESS GIANT",142.74
"ROAD ROXANNE",130.81
"HEAVYWEIGHTS BEAST",129.77
"CAUSE DATE",128.79
"SECRET GROUNDHOG",116.79
"CUPBOARD SINNERS",106.77
"EGG IGBY",105.79
"METAL ARMAGEDDON",103.75
"FRENCH HOLIDAY",102.83
"BROTHERHOOD BLANKET",101.74
"QUILLS BULL",100.84
"EXPENDABLE STALLION",97.72
"SAGEBRUSH CLUELESS",91.84
"NATIONAL STORY",82.81
"WEDDING APOLLO",81.76
"DEEP CRUSADE",80.86
"MADISON TRAP",76.85
"THIN SAGEBRUSH",73.89
"CHICKEN HELLFIGHTERS",68.78
"BILL OTHERS",67.81
"NORTH TEQUILA",65.89
"BEACH HEARTBREAKERS",64.83
"CIDER DESIRE",62.81
"PACIFIC AMISTAD",62.76
"MOD SECRETARY",61.89
"UNITED PILOT",55.83
"DANCING FEVER",55.73
"VIRGINIAN PLUTO",51.71
"CLERKS ANGELS",50.93
"INTOLERABLE INTENTIONS",49.91
"MODERN DORADO",49.85
"SHIP WONDERLAND",47.85
"MAJESTIC FLOATS",43.83
"POCUS PULP",43.74
"WARS PLUTO",42.90
"COAST RAINBOW",42.79
"ARMY FLINTSTONES",41.84
"WAGON JAWS",38.90
"MIGHTY LUCK",38.88
"INDEPENDENCE HOTEL",38.81
"ADAPTATION HOLES",37.88
"DOZEN LION",36.93
"ACADEMY DINOSAUR",36.77
"UNTOUCHABLES SUNRISE",35.92
"HALLOWEEN NUTS",35.90
"BONNIE HOLOCAUST",32.84
"NOTORIOUS REUNION",25.86
"HUNTER ALTER",24.95
"BED HIGHBALL",24.94
"STREAK RIDGEMONT",24.84
"WRATH MILE",23.86
"HOMEWARD CIDER",23.84
"NEWSIES STORY",22.93
"SPOILERS HELLFIGHTERS",20.90
"SMOKING BARBARELLA",18.83
"HARDLY ROBBERS",15.96
"HAWK CHILL",15.93
"DUFFEL APOCALYPSE",6.93
"YOUNG LANGUAGE",6.93
