Country,Branch,Latitude,Longitude
Singapore,Singapore Branch ,1.285576,103.852229
Singapore,South Sub-Branch ,1.279136,103.844656
Singapore,Central Sub-Branch,1.282126,103.849686
Japan,Tokyo Branch ,35.674946,139.735872
Japan,Osaka Branch ,34.673421,135.491145
Japan,Kobe Branch,34.695124,135.197852
Kazakhstan,Bank Of China Kazakhstan ,43.259133,76.934019
South Korea,Seoul Branch,37.566535,126.977969
South Korea,Daegu Branch,35.860325,128.555114
Australia,Bank Of China Australia ,-33.866531,151.205534
Australia,Haymarket Branch ,-33.879738,151.205155
Australia,Limited Hurstville Branch ,-33.966935,151.102845
Australia,Parramatta Branch ,-33.818099,151.00369
Australia,Brisbane Branch,-27.467568,153.028766
Thailand,Bank Of China (Thai) Public Company Limited,13.694929,100.523987
Vietnam,Ho Chi Minh City Branch,10.823099,106.629664
Cambodia,Phnom Penh Branch,11.544873,104.892167
Malaysia,Bank Of China (Malaysia) Berhad ,3.16078,101.71697
Malaysia,Penang Branch,5.432326,100.312183
Malaysia,Johor Bahru Branch ,1.528689,103.793414
Indonesia,Jakarta Branch ,-6.213519,106.822262
United Arab Emirates,Dubai Representative Office ,25.22529,55.283673
Mongolia,Ulaanbaatar Representative Office ,47.92,106.92
Singapore,Boc Aviation Pte. Ltd.,1.276057,103.847538
Singapore,Katong Sub-Branch ,1.306969,103.9066
Singapore,North Sub-Branch ,1.299333,103.852923
Singapore,Chinatown Sub-Branch ,1.286551,103.844618
Japan,Yokohama Branch,35.442422,139.646289
Japan,Otemachi Branch ,35.685899,139.768456
Kazakhstan,Yalian Branch,45.188237,82.577247
South Korea,Ansan Branch,37.329339,126.795037
South Korea,Guro Branch ,37.495185,126.882064
Australia,Sydney Branch ,-33.866531,151.205534
Australia,Melbourne Branch ,-37.816988,144.961724
Australia,Perth?Branch ,-31.953981,115.853971
Australia,Box Hill Branch,-37.818215,145.122094
Thailand,Rayong Branch ,12.998402,101.229711
Philippines,Manila Branch,14.599512,120.98422
Cambodia,Intercon Sub-Branch ,11.544873,104.892167
Malaysia,Muar Branch ,2.059688,102.602729
Malaysia,Klang Branch ,3.063035,101.465149
Indonesia,Surabaya Branch ,-7.272931,112.742776
Bahrain,Bahrain Representative Office,26.24007,50.587345
United Kingdom,London Branch ,51.511264,-0.088841
United Kingdom,London Chinatown Branch ,51.512717,-0.130307
United Kingdom,Glasgow Branch ,55.866049,-4.267607
United Kingdom,Bank Of China International (UK) Limited ,51.511264,-0.088841
Luxembourg,Luxembourg Branch ,49.609861,6.124844
Netherlands,Rotterdam Branch,51.917094,4.475617
Poland,Poland Branch,52.236664,21.006357
Portugal,Lisbon Branch,38.723784,-9.150238
France,Paris Branch ,48.874791,2.290408
Germany,Frankfurt Branch,50.11728,8.66668
Germany,Bank Of China Düsseldorf Branch,51.22333,6.77676
Italy,Milan Branch ,45.466505,9.188948
Russia,Bank Of China (Eluosi) ,55.772484,37.677029
Russia,Primorskiy Branch,43.103866,131.869937
United Kingdom,Bank Of China (UK) Limited ,51.511264,-0.088841
United Kingdom,Manchester Branch ,53.479326,-2.240941
United Kingdom,Birmingham Branch ,52.473905,-1.899007
Luxembourg,Bank Of China (Luxembourg),49.609861,6.124844
Belgium,Brussels Branch,50.846235,4.369418
Sweden,Stockholm Branch,59.337254,18.071036
France,Agence Italie,48.831484,2.356969
Germany,Hamburg Branch ,53.551445,9.993774
Hungary,Bank Of China (Hungary),47.502803,19.052102
Russia,Khabarovsk Branch,48.48947,135.077936
USA,New York Branch,40.756887,-73.976667
USA,Los Angeles Branch,34.051564,-118.255071
Canada,Bank Of China(Canada),43.842727,-79.379038
Canada,Toronto Scarborough Branch,43.806654,-79.28898
Canada,Toronto North York Branch,43.786019,-79.351274
Canada,Vancouver Branch,49.286492,-123.12129
Canada,Calgary Branch,51.048456,-114.070334
Cayman Islands,Grand Cayman Branch,19.32916,-81.380704
Brazil,Banco Da China Brasil S.A,-23.562831,-46.646259
USA,New York Chinatown Branch ,40.713777,-73.996008
USA,Chicago Branch,41.880164,-87.636483
Canada,Toronto Downtown Branch,43.653715,-79.394864
Canada,Toronto Markham Branch,43.850364,-79.349151
Canada,Toronto Mississauga Branch,43.568841,-79.662887
Canada,Vancouver Richmond Branch,49.17003,-123.13557
Panama,Panama Branch ,8.982423,-79.522763
Zambia,Bank Of China (Zambia) Limited,-15.425333,28.280145
Kenya,Bank Of China Limited Nairobi Representative Office ,-1.299167,36.783549
South Africa,Johannesburg Branch ,-26.10762,28.04942
